"CUSTOMER_QUESTION_ANSWER_ID","CUSTOMER_ID","QUESTION_ANSWER_ID"
467,467,1
468,468,1
469,469,3
470,470,1
471,471,1
472,472,1
473,473,1
474,474,3
475,475,4
476,476,5
477,477,3
478,478,2
479,479,5
480,480,2
481,481,3
482,482,3
483,483,3
484,484,5
485,485,4
486,486,1
487,487,2
488,488,2
489,489,4
490,490,1
491,491,1
492,492,1
493,493,2
494,494,3
495,495,1
496,496,1
497,497,1
498,498,3
499,499,1
500,500,1
501,501,1
502,502,1
503,503,3
504,504,1
505,505,1
506,506,1
507,507,1
508,508,1
509,509,1
510,510,1
511,511,1
512,512,1
513,513,1
514,514,4
515,515,1
516,516,4
517,517,3
518,518,5
519,519,3
520,520,2
521,521,3
522,522,1
523,523,4
524,524,3
525,525,2
526,526,2
527,527,3
528,528,4
529,529,1
530,530,1
531,531,1
532,532,3
533,533,1
534,534,1
535,535,3
536,536,1
537,537,5
538,538,4
539,539,1
540,540,1
541,541,1
542,542,3
543,543,3
544,544,3
545,545,1
546,546,1
547,547,1
548,548,1
549,549,1
550,550,3
551,551,3
552,552,2
553,553,3
554,554,4
555,555,4
556,556,4
557,557,4
558,558,3
559,559,4
560,560,4
561,561,3
562,562,3
563,563,3
564,564,3
565,565,2
566,566,4
567,567,3
568,568,5
569,569,2
570,570,2
571,571,5
572,572,3
573,573,4
574,574,1
575,575,1
576,576,3
577,577,1
578,578,5
579,579,1
580,580,1
581,581,1
582,582,1
583,583,1
584,584,1
585,585,1
586,586,1
587,587,3
588,588,3
589,589,2
590,590,4
591,591,1
592,592,5
593,593,3
594,594,3
595,595,4
596,596,3
597,597,1
598,598,3
599,599,3
600,600,3
601,601,4
602,602,3
603,603,3
604,604,1
605,605,3
606,606,1
607,607,3
608,608,3
609,609,1
610,610,1
611,611,1
612,612,1
613,613,1
614,614,3
615,615,1
616,616,1
617,617,1
618,618,1
619,619,1
620,620,3
621,621,3
622,622,4
623,623,3
624,624,4
625,625,3
626,626,2
627,627,1
628,628,5
629,629,4
630,630,1
631,631,3
632,632,5
633,633,5
634,634,4
635,635,1
636,636,1
637,637,1
638,638,1
639,639,1
640,640,1
641,641,1
642,642,1
643,643,1
644,644,1
645,645,1
646,646,1
647,647,1
648,648,1
649,649,1
650,650,1
651,651,3
652,652,3
653,653,5
654,654,3
655,655,3
656,656,5
657,657,5
658,658,3
659,659,3
660,660,3
661,661,5
662,662,5
663,663,3
664,664,3
665,665,5
666,666,3
667,667,2
668,668,3
669,669,1
670,670,3
671,671,2
672,672,2
673,673,2
674,674,3
675,675,1
676,676,1
677,677,1
678,678,1
679,679,1
680,680,1
681,681,1
682,682,1
683,683,1
684,684,1
685,685,1
686,686,1
687,687,4
688,688,1
689,689,4
690,690,5
691,691,3
692,692,1
693,693,4
694,694,3
695,695,3
696,696,3
697,697,4
698,698,1
699,699,4
700,700,4
701,701,3
702,702,1
703,703,3
704,704,4
705,705,3
706,706,1
707,707,1
708,708,1
709,709,1
710,710,1
711,711,1
712,712,3
713,713,4
714,714,1
715,715,1
716,716,1
717,717,1
718,718,1
719,719,1
720,720,1
721,721,1
722,722,3
723,723,1
724,724,1
725,725,1
726,726,1
727,727,1
728,728,1
729,729,1
730,730,1
731,731,3
732,732,5
733,733,3
734,734,1
735,735,3
736,736,2
737,737,3
738,738,3
739,739,3
740,740,1
741,741,1
742,742,3
743,743,1
744,744,5
745,745,2
746,746,1
747,747,1
748,748,1
749,749,1
750,750,3
751,751,1
752,752,1
753,753,3
754,754,1
755,755,1
756,756,1
