Fund_ID,Fund_Name,Years,Median_Val,P25_Val,P75_Val
1,Scenario 1,10,206472.1258249813,147403.34115843452,292913.33062463
1,Scenario 1,20,438390.10949634766,265654.6761047062,707740.253995957
2,Scenario 2,10,204864.62719089087,148817.21717368515,290656.1143460754
2,Scenario 2,20,430493.125708316,267847.98149015545,698598.926020435
3,Scenario 3,10,183408.66942423908,123503.0926799259,271387.82588035683
3,Scenario 3,20,343665.83793155337,194218.19652402107,603030.9193888854
4,Scenario 4,10,193646.3203952934,131455.03892179878,283789.5821040723
4,Scenario 4,20,371663.55548773997,219677.7709889726,637339.2210944138
5,Scenario 5,10,199760.62769550752,139358.96994967543,286066.68806144776
5,Scenario 5,20,393152.6457538266,234770.39903043178,653846.7284912397
